Name,Lat,Lng,,,,,,,
"موصل, Earthlink Alshams Internet Center",36.4496467,43.104894,,,,,,,
"موصل, معمل غاز التوفيق",36.4494696,43.0981639,,,,,,,
"موصل, جامع التوفيق",36.4493507,43.0879005,,,,,,,
"موصل, Concrete spacers Iraq",36.449078,43.21727,,,,,,,
"موصل, معمل العراق لانتاج السبيسرات الخرسانية",36.449078,43.21727,,,,,,,
"موصل, مضيف الشيخ مزاحم بن علي ال چامي",36.4487369,43.09444,,,,,,,
"موصل, وائل الهميلة",36.4487193,43.1391424,,,,,,,
"موصل, معمل السلام للألمنيوم /بأدارة احمد الزنيزل و ولده اشرف",36.448612,43.0975601,,,,,,,
"موصل, معمل الحاج ادريس",36.4484947,43.1012253,,,,,,,
"موصل, كراج الرافع",36.448444,43.0984717,,,,,,,
"موصل, مخزن سيراميك النعيمي",36.4484256,43.0976979,,,,,,,
"موصل, بيت دناوي الحلو",36.448393,43.086634,,,,,,,
"موصل, جامع السعيد",36.448349,43.1059501,,,,,,,
"موصل, مكتب ابو سعد لتجارة العقار",36.4480556,43.1191941,,,,,,,
"موصل, أراضي إسكان موظفي الحكومة المحلية",36.4480208,43.2006467,,,,,,,
"موصل, محل ابو سالار اللتبريد المحمول",36.4479336,43.0972105,,,,,,,
"موصل, حجي صفاء للتبريد المحمول",36.4479163,43.0966397,,,,,,,
"موصل, ابو مصعب",36.4477222,43.1370556,,,,,,,
"موصل, معمل البان و مرطبات الحزيره",36.4476667,43.2081395,,,,,,,
"موصل, بيت الفرج (ابو حمودي)",36.447662,43.0867163,,,,,,,
"موصل, محطة تعبئة المهند",36.4476592,43.0980637,,,,,,,
"موصل, محل مواد منزلية",36.4476462,43.1090374,,,,,,,
"موصل, اسواق الحيالي",36.4476181,43.1090234,,,,,,,
"موصل, مولدة النعيمي",36.4475151,43.1066957,,,,,,,
"موصل, كراج ابو محمود الفيتر",36.4474639,43.0992321,,,,,,,
"موصل, شركة البان الجزيرة",36.4474249,43.2086978,,,,,,,
"موصل, Nineveh International Fair",36.4474167,43.2122091,,,,,,,
"موصل, مقبرة تليارة",36.4473536,43.2560492,,,,,,,
"موصل, مزرعة د. عبدالله الحطاب",36.4473331,43.2064076,,,,,,,
"موصل, شركة المها للتجارة العامة المحدودة",36.4473072,43.2117205,,,,,,,
"موصل, اعلاف النبراس",36.4472894,43.0993042,,,,,,,
"موصل, شركة نور الكفيل وكيل محافظة نينوى",36.4472375,43.2119774,,,,,,,
"موصل, محطة المهند المشيدة",36.4471594,43.0974562,,,,,,,
"موصل, ادوات احتياطيه عبدالرحمن تم نقل المحل قرب محطة تعبئة المهند مقابل الاستداره",36.4471335,43.0977947,,,,,,,
"موصل, حي التربيه الثالثة",36.4471219,43.1302006,,,,,,,
"موصل, معرض نينوى الدولي",36.4469757,43.2120819,,,,,,,
"موصل, مكتب العمران",36.4468364,43.0978378,,,,,,,
"موصل, دورات تقوية لغة انكليزية",36.4468106,43.2560128,,,,,,,
"موصل, مخزن تبريد وتجميد الشكور",36.4467942,43.2119615,,,,,,,
"موصل, مدرسة النبأ العظيم",36.44677,43.093741,,,,,,,
"موصل, مضيف ابو رائد (محمود عبوش)",36.4467697,43.0892396,,,,,,,
"موصل, محلات انس ابو يحيى",36.4467234,43.0994279,,,,,,,
"موصل, سنتر القوسيات",36.4465758,43.0994942,,,,,,,
"موصل, التربية الاولى",36.4465741,43.1310483,,,,,,,
"موصل, احمد للانترنيت ايرثلنك",36.4465512,43.1046475,,,,,,,
"موصل, مكتب ابو رسل للعقار",36.4464939,43.0971233,,,,,,,
"موصل, جامع الحاج بشير عبد الله النعيمي",36.4464854,43.1069062,,,,,,,
"موصل, بيتي",36.4464331,43.095686,,,,,,,
"موصل, دار الحاج لطيف علي الورشان",36.4464072,43.0948916,,,,,,,
"موصل, الشيخ علي محمود الورشان",36.4464029,43.094378,,,,,,,
"موصل, تركي الحبيطي",36.4462946,43.1045298,,,,,,,
"موصل, سامي ال سلطان",36.4462885,43.0961171,,,,,,,
"موصل, ماركت ابو يوسف",36.4462222,43.0983282,,,,,,,
"موصل, ملحق التربية الاولى",36.4461875,43.1283125,,,,,,,
"موصل, شيخ مشتاق الجبوري",36.4460447,43.1066052,,,,,,,
"موصل, اسواق الزبيدي",36.4458881,43.0950061,,,,,,,
"موصل, دودي للادوات الاحتياطية",36.4458543,43.1006992,,,,,,,
"موصل, خالد العبيدي",36.4458452,43.1002068,,,,,,,
"موصل, القوسيات",36.4458452,43.1002068,,,,,,,
"موصل, بيت سعد داود ابو عبدالرحمن",36.4458452,43.1002068,,,,,,,
"موصل, فيتر رافع",36.4458447,43.1006829,,,,,,,
"موصل, عزت للزجاج و الديكور",36.4458447,43.1006829,,,,,,,
"موصل, لعبة الاحصنة",36.4458225,43.2132206,,,,,,,
"موصل, محلات السيد صالح",36.4458183,43.1002078,,,,,,,
"موصل, Nineveh International Auto Show",36.4458142,43.2115339,,,,,,,
"موصل, حي التربية",36.4458112,43.1318468,,,,,,,
"موصل, نوفي لغسل السيارات وتبديل الدهون",36.4457745,43.0986484,,,,,,,
"موصل, جامع الحاج محمود الورشان",36.445767,43.093874,,,,,,,
"موصل, بيت المستقبل",36.4457478,43.0850687,,,,,,,
"موصل, التربية الثالثة",36.445703,43.1393694,,,,,,,
"موصل, اسواقابوعلي",36.4456675,43.254397,,,,,,,
"موصل, شركة مسك الرحمة",36.445645,43.1014211,,,,,,,
"موصل, حي التربة الثالث",36.4456189,43.1409133,,,,,,,
"موصل, معمل البان ومرطبات الجزيرة",36.4456178,43.2096872,,,,,,,
"موصل, ابو صالح",36.4455725,43.1461369,,,,,,,
"موصل, مسجد آل طاهر",36.4455405,43.101015,,,,,,,
"موصل, Yahya House",36.4455381,43.1422032,,,,,,,
"موصل, سالم الجحيشي",36.4455381,43.139678,,,,,,,
"موصل, احمد حسين الفحام",36.4455002,43.1422543,,,,,,,
"موصل, عمارة العزاوي",36.44546,43.10054,,,,,,,
"موصل, جامع قمر بني هاشم (عليه السلام)",36.4454123,43.2536304,,,,,,,
"موصل, لعبة ديسكفري",36.4453686,43.2132099,,,,,,,
"موصل, البحيرة",36.4453538,43.2129176,,,,,,,
"موصل, بيت ابو مصطفى",36.4452865,43.1074211,,,,,,,
"موصل, جامع احمد سلمان المولى",36.4452479,43.1014334,,,,,,,
"موصل, Khalid Mohamed",36.4451795,43.0942247,,,,,,,
"موصل, معمل المنيوم البركه",36.4450719,43.2136917,,,,,,,
"موصل, دجلة ستي",36.4450719,43.2136917,,,,,,,
"موصل, مرتفعات بيشيطاغ ( الرشيدية )",36.4450514,43.0708373,,,,,,,
"موصل, دولاب الهواء",36.4450317,43.2133631,,,,,,,
"موصل, موقف سيارات الأجرة والخصوصي",36.4449853,43.0982377,,,,,,,
"موصل, احمد المحمداوي",36.4449756,43.1413537,,,,,,,
"موصل, أسواق ابو علي",36.4449645,43.0979478,,,,,,,
"موصل, قراج",36.4449559,43.0614666,,,,,,,
"موصل, مطعم دجله ستي",36.44492,43.2132587,,,,,,,
"موصل, اسواق ابو سهم",36.4449069,43.0987728,,,,,,,
"موصل, مكتب اليقظة للمواد الإنشائية /كاشي",36.444821,43.099165,,,,,,,
"موصل, دجلة مول",36.4447236,43.2124256,,,,,,,
"موصل, Tlyara",36.444707,43.2514101,,,,,,,
"موصل, عيادة القوسيات البيطرية",36.4446978,43.0980186,,,,,,,
"موصل, مكتب الشمس للعقار",36.4446733,43.0980383,,,,,,,
"موصل, عادل احمد الغتران المعماري",36.4433,43.109278,,,,,,,
"موصل, مزرعة الحاج احمد المطر الحديدي",36.4430804,43.188028,,,,,,,
"موصل, رافع فتحي يحيى",36.4429153,43.1604626,,,,,,,
"موصل, ابراهيم الحلاق",36.4427555,43.1067788,,,,,,,
"موصل, محلات رافع لبيع الفواكه والخضراوات",36.4427301,43.1025635,,,,,,,
"موصل, مولدة الاثار / شارع تلكيف",36.4426524,43.1061485,,,,,,,
"موصل, مزرعة الحاج عبدالله المشهداني",36.4425868,43.1887549,,,,,,,
"موصل, شركة الخضراء لبيض المائدة",36.4425623,43.1419615,,,,,,,
"موصل, دار",36.4425542,43.1190339,,,,,,,
"موصل, مطعم ومسگوف الفرات",36.4425097,43.1004351,,,,,,,
"موصل, شركة فورمال الموصل",36.4423907,43.1026982,,,,,,,
"موصل, Yuosef albrzngy",36.442329,43.1012968,,,,,,,
"موصل, بيت وائل",36.4422686,43.0978146,,,,,,,
"موصل, محطة وقود خورسباد",36.4421809,43.2088144,,,,,,,
"موصل, مني سنتر المنزلي",36.4420973,43.106473,,,,,,,
"موصل, بيت محمد ابو ورود",36.4420874,43.109989,,,,,,,
"موصل, مكتب Ayad_Net",36.4420673,43.1064677,,,,,,,
"موصل, محل رائد العلاف",36.442044,43.1064425,,,,,,,
"موصل, افران نوروز2",36.4420413,43.1064508,,,,,,,
"موصل, افران عين دهوك",36.4420234,43.1021695,,,,,,,
"موصل, حكم ٢",36.441992,43.1246768,,,,,,,
"موصل, مولدة السلام",36.4419781,43.1028273,,,,,,,
"موصل, اسواق الشام",36.4419522,43.1060806,,,,,,,
"موصل, دار ابومصطفى الجبوري",36.4419398,43.0893096,,,,,,,
"موصل, معرض المشهداني",36.4419171,43.0979509,,,,,,,
"موصل, حلاقة حكم",36.4419093,43.1060532,,,,,,,
"موصل, بورصه اليزن",36.4418119,43.101644,,,,,,,
"موصل, المازن للتسوق",36.4418119,43.1015908,,,,,,,
"موصل, اسواق شامل الاومري",36.4417958,43.1015552,,,,,,,
"موصل, اسواق حسن الخابوري",36.4417607,43.1019774,,,,,,,
"موصل, مجمع الشواملة",36.4417368,43.2315555,,,,,,,
"موصل, صيدليه الشفه",36.4416876,43.101597,,,,,,,
"موصل, عين العراق",36.4416823,43.2315832,,,,,,,
"موصل, مجمع التركمان",36.4416749,43.2315819,,,,,,,
"موصل, شقة ابو خالد",36.441622,43.1009156,,,,,,,
"موصل, أسواق ابو حسن",36.4415913,43.2506733,,,,,,,
"موصل, جرزات و حلويات الزعيم",36.4415884,43.1018676,,,,,,,
"موصل, عيادة السونار البيطرية",36.4414993,43.1058135,,,,,,,
"موصل, بورصة القلعة",36.4414818,43.1013779,,,,,,,
"موصل, مكتب أبو حمودي الاستنساخ",36.4414794,43.1006289,,,,,,,
"موصل, حي جمعية النفط",36.4414068,43.1226917,,,,,,,
"موصل, أسواق وليد",36.4413761,43.1014067,,,,,,,
"موصل, مكتب جوان للانترنت Jowan.Net",36.4413709,43.1037647,,,,,,,
"موصل, مرطبات دادي",36.4412405,43.1016216,,,,,,,
"موصل, ساحة الزيتون",36.4412337,43.100237,,,,,,,
"موصل, اسواق الاياد",36.4412173,43.104121,,,,,,,
"موصل, ابو عثمان لمرور",36.4411493,43.0959651,,,,,,,
"موصل, مكتب ابو اسحاق للتجارت العقار",36.4411345,43.1012323,,,,,,,
"موصل, محل ابوحسن لبيع الإنشائية والكهربائيات والاصباغ",36.4411236,43.1001954,,,,,,,
"موصل, حلاقة صالح",36.4411188,43.0894354,,,,,,,
"موصل, رضوان رياض سعيد/حقل دواجن",36.4410986,43.1744147,,,,,,,
"موصل, محل هلا",36.441043,43.1015571,,,,,,,
"موصل, مخازن الخيرات للتبريد و التجميد",36.4410203,43.1757991,,,,,,,
"موصل, جمعية التربية",36.4410124,43.1309558,,,,,,,
"موصل, أسواق الريان",36.4409593,43.1015455,,,,,,,
"موصل, زيد",36.440937,43.127312,,,,,,,
"موصل, غسل الطيار الحديث",36.440936,43.100257,,,,,,,
"موصل, مكتب الأمين لصيانة الموبايل",36.4409167,43.101285,,,,,,,
"موصل, حي التعليم الثانية",36.4409113,43.1157938,,,,,,,
"موصل, مكتب الزبيدي للعقار",36.4408933,43.105825,,,,,,,
"موصل, محمد سالم",36.4408088,43.1559652,,,,,,,
"موصل, صيدلية محمد جعفر",36.4408051,43.1014738,,,,,,,
"موصل, مكتب احمد فون للموبايلات",36.4407506,43.1014677,,,,,,,
"موصل, ماركت ركن القوسيات",36.44067,43.1003691,,,,,,,
"موصل, ستوديو مراد",36.4406669,43.1003604,,,,,,,
"موصل, دار عبد حسن خليل الفرهودي",36.440648,43.107779,,,,,,,
"موصل, مسجد خديجة الكبرى",36.4406363,43.10857,,,,,,,
"موصل, السيد ابو حمزه الحديدي",36.4405815,43.1493546,,,,,,,
"موصل, اياد النعمات",36.4405633,43.1069567,,,,,,,
"موصل, حلاقة",36.440537,43.1057323,,,,,,,
"موصل, جمعية ذوي المهن الصحية",36.4405179,43.1340294,,,,,,,
"موصل, مكتب الاماني للتصوير",36.4404981,43.0896888,,,,,,,
"موصل, صيدلية القوسيات",36.4404951,43.1014402,,,,,,,
"موصل, مولدة الفهد",36.4404907,43.0894114,,,,,,,
"موصل, فارس العبادي",36.440473,43.107499,,,,,,,
"موصل, مكتب السعدون لتجارة العقارات",36.4404703,43.1004287,,,,,,,
"موصل, التعليم الثالثة",36.440434,43.1306475,,,,,,,
"موصل, مكتب الطارق 2",36.4404323,43.100496,,,,,,,
"موصل, مكتب ديجتال3للموبايل",36.4402848,43.1014712,,,,,,,
"موصل, مزرعة الحاج صباح الرحال الحديدي",36.4401782,43.1900393,,,,,,,
"موصل, اسواق الشكره",36.4401629,43.1055913,,,,,,,
"موصل, مرطبات وحلويات طيبة -3-",36.4401621,43.1015188,,,,,,,
"موصل, يحيى",36.4401505,43.1081387,,,,,,,
"موصل, مكتب سهم للعقار الفرع الاول",36.4401,43.1055314,,,,,,,
"موصل, جمعية غرفة تجارة",36.4400825,43.1078568,,,,,,,
"موصل, مكتب زمزم للموبايل و خدمات الانترنت",36.4400621,43.1004191,,,,,,,
"موصل, جامع الدكتور ضياء الدين الحنوش",36.4400574,43.10044,,,,,,,
"موصل, ابو نور البحار",36.4400455,43.1270349,,,,,,,
"موصل, مكتب ابو عذراء للعقار",36.4400408,43.1005763,,,,,,,
"موصل, المتوكل الحديث للعقار",36.4400405,43.100576,,,,,,,
"موصل, عمر هاشم للمفروشات",36.4400084,43.1055314,,,,,,,
"موصل, صيدلية ايهاب قوسيات",36.4400052,43.1055235,,,,,,,
"موصل, اراضي جمعية المثقفين",36.4399641,43.1406816,,,,,,,
"موصل, ماركت دعاء الخير",36.4399341,43.1094806,,,,,,,
"موصل, مكتب بكر للاستنساخ والموبايلات",36.4398948,43.0998631,,,,,,,
"موصل, مکتب ابو فھد للعقارات",36.4398931,43.1011767,,,,,,,
"موصل, جامع ابن القيم",36.4398436,43.1044346,,,,,,,
"موصل, القوسيات",36.4398425,43.1036257,,,,,,,
"موصل, حلاقه الشيخ",36.4397935,43.1006212,,,,,,,
"موصل, مركز الريان لخدمات الموبايل والانترنيت",36.439789,43.1007925,,,,,,,
"موصل, راشي القوسيات",36.4397555,43.101618,,,,,,,
"موصل, معرض دبي",36.4397549,43.1016135,,,,,,,
